imdb_score,release_year,movie_title_length,aspect_ratio,colour_film,genres_length,distributor_length,actor1_length,is_Miramax,is_Nov,is_Dec
7.8,1997,8,2.35,Color,22,29,18,0,0,0
7.6,1999,17,2.35,Color,9,24,10,0,0,0
7.7,2014,24,2.35,Color,23,14,14,0,1,0
7.3,1995,6,1.85,Black and White,12,15,8,0,0,0
7.5,2004,19,1.85,Color,11,18,23,0,0,0
7.8,2000,19,2.35,Color,21,20,12,0,0,0
6.9,2015,7,2.35,Color,34,29,12,0,0,0
7.3,2002,12,2.35,Color,13,9,20,0,0,0
5,1980,4,2.35,Color,28,25,14,0,0,0
8.1,1987,7,1.85,Color,9,14,11,0,0,0
6,2012,24,2.35,Color,6,13,10,0,0,0
6.4,1994,8,2.35,Color,38,12,12,0,0,0
7.3,1994,12,1.85,Color,20,29,14,0,0,1
8.1,2015,9,1.85,Color,29,17,12,0,1,0
7.1,2016,4,2.35,Color,21,26,12,0,0,0
6.4,2003,26,1.78,Color,21,29,11,0,0,0
3.4,2003,39,1.37,Color,6,15,12,0,0,0
5.6,2011,7,2.35,Color,21,17,13,0,0,0
7.2,2012,13,1.85,Color,20,9,13,0,0,0
6.3,2000,11,2.35,Color,18,9,14,0,0,0
6.1,2012,17,1.85,Color,13,21,14,0,0,1
6.4,2015,4,2.35,Color,25,11,12,0,0,0
6.1,2000,14,2.35,Color,21,12,6,0,0,0
7.6,1973,19,2.35,Color,15,18,14,0,0,0
5.6,2009,12,1.85,Color,13,14,10,0,0,0
6.1,2012,7,2.35,Color,32,24,13,0,0,0
6.7,1985,8,1.85,Color,25,21,9,0,0,0
5.5,1998,19,1.85,Color,30,25,15,0,0,0
6.6,2013,11,1.85,Color,6,18,14,0,0,0
5.6,2000,11,2.35,Color,26,20,11,0,0,0
4.9,2002,7,2.35,Color,36,18,14,0,0,0
6.1,2008,10,2.35,Color,14,17,10,0,0,0
7.4,1987,11,1.85,Color,11,21,12,0,0,1
4.7,2013,17,1.85,Color,12,9,11,0,0,1
8.1,1993,13,1.85,Color,22,29,11,0,0,0
4.8,2008,16,1.85,Color,32,24,18,0,0,0
8,1990,18,2.35,Color,23,13,14,0,1,0
6.8,1988,10,1.85,Color,28,24,10,0,0,0
5.4,2003,13,1.85,Color,6,23,10,0,0,0
3.9,2011,10,1.85,Color,13,17,14,0,1,0
7.6,1989,6,1.85,Color,16,35,13,0,0,0
8.1,2001,12,2.35,Color,21,11,15,0,0,0
7.3,2008,11,2.35,Black and White,21,18,12,0,0,0
5.9,2006,6,2.35,Color,6,16,13,0,0,0
5.4,1994,14,1.85,Color,35,12,18,0,0,0
6.6,2012,16,2.35,Color,14,11,11,0,0,0
7.1,2007,13,2.35,Color,23,12,13,0,0,0
6.1,2015,5,2.35,Color,21,35,14,0,0,0
5.2,2004,17,2.35,Color,20,29,12,0,0,0
7.1,2016,10,2.35,Color,27,13,12,0,0,0
6.9,1995,10,1.85,Color,21,8,12,0,0,0
6.2,2009,7,1.85,Color,20,25,12,0,0,0
4.1,2002,23,2.35,Color,22,15,16,0,0,0
7.4,1985,7,1.85,Color,28,18,13,0,0,0
7.7,1989,7,1.85,Color,42,28,13,0,1,0
8.3,1968,21,2.2,Color,24,25,11,0,0,0
6.4,2007,13,2.35,Color,16,15,12,0,0,0
5.7,2002,8,2.35,Color,26,17,15,0,0,1
3.3,1998,11,1.85,Color,19,29,13,0,0,0
7.6,1990,24,2.35,Color,25,18,11,0,0,0
5.2,2001,13,1.85,Color,6,15,14,0,0,0
6.4,2001,14,1.85,Color,6,18,15,0,0,0
8,1998,15,2.35,Color,5,22,19,0,1,0
6.7,2016,19,1.85,Color,34,29,19,0,0,0
7,2007,14,2.35,Black and White,21,16,14,0,0,1
3,2006,10,1.85,Color,6,24,8,0,0,0
7.1,2012,25,2.35,Color,22,14,20,0,0,0
5.9,1984,34,1.85,Color,15,18,13,0,0,0
7.3,2009,8,2.35,Color,15,24,15,0,0,1
8,2013,18,2.35,Color,15,16,19,0,1,0
5.1,2006,22,2.35,Color,21,21,12,0,0,0
6.3,2001,16,2.35,Color,28,21,12,0,0,0
7.6,1963,31,2.76,Color,29,14,16,0,1,0
3.3,2002,10,1.85,Color,12,18,14,0,0,0
4.8,2016,11,2.35,Color,6,18,14,0,0,0
5.2,2008,7,1.85,Color,23,16,11,0,0,0
6.6,2014,25,2.35,Color,12,12,8,0,0,0
4.7,2014,16,2.35,Color,33,30,14,0,0,0
3.1,2015,15,2.35,Color,22,18,12,0,0,0
4.5,2015,9,2.35,Color,5,29,13,0,0,0
7.4,2016,8,2.35,Color,25,18,13,0,0,0
7.4,2011,14,1.66,Color,13,23,12,0,0,0
7,1998,14,1.85,Color,5,18,12,0,0,0
