"","X","imdb_score","movie_id","release_year","movie_title_length","aspect_ratio","colour_film","genres_length","distributor_length","actor1_length","is_Miramax","is_Nov","is_Dec","movie_id.1","comput","campus","holiday","riot","terror","escap","wish","love","movie_id","action","adventure","scifi","thriller","western","sport","horror","drama","war","crime","documentary","biography","fantasy","comedy","family"
"69",69,7.3,322,2016,19,2.35,"Color",36,18,14,0,0,0,322,0,0,0,0,0,0,0,0,322,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0
"70",70,7.9,324,1987,16,2.35,"Color",20,18,14,0,0,0,324,0,0,0,0,0,0,0,0,324,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0
"71",71,6.8,325,2008,9,2.35,"Color",19,15,15,0,0,0,325,0,0,0,0,0,0,0,0,325,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0
"72",72,6.5,337,2010,7,2.35,"Color",30,21,12,0,0,0,337,0,0,0,0,0,0,0,0,337,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0
"73",73,7.1,340,2016,23,2.35,"Color",36,18,12,0,0,0,340,0,0,0,0,0,0,0,0,340,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
"74",74,5.2,351,1995,9,2.35,"Color",20,14,11,0,0,0,351,0,0,0,0,0,0,0,0,351,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
"75",75,6.6,353,1989,15,2.35,"Color",25,14,11,0,0,0,353,0,0,0,0,0,0,0,0,353,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"76",76,6.6,356,2000,13,2.35,"Color",31,20,15,0,0,0,356,0,0,0,0,0,0,0,0,356,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0
"77",77,8,357,2014,7,1.85,"Color",5,13,14,0,0,0,357,0,0,0,0,0,0,0,0,357,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"78",78,7.6,362,2001,10,1.85,"Color",23,21,17,0,0,0,362,0,0,0,0,0,0,0,0,362,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
"79",79,6.9,363,1981,7,1.85,"Color",17,29,11,0,0,0,363,0,0,0,0,0,0,0,0,363,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
"80",80,5.9,367,1991,10,1.85,"Color",27,29,14,0,0,0,367,0,0,0,0,0,0,0,0,367,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0
"81",81,5.4,377,2008,17,1.85,"Color",21,8,12,0,0,0,377,0,0,0,0,0,0,0,0,377,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"82",82,6.2,378,2000,17,1.85,"Color",27,12,14,0,0,1,378,0,0,0,0,0,0,0,0,378,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
"83",83,6.6,385,2011,21,2.35,"Color",14,11,10,0,0,0,385,0,0,0,0,0,0,0,0,385,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"84",84,7.9,387,2014,12,2.35,"Color",20,17,15,0,0,0,387,0,0,0,0,0,0,0,0,387,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0
"85",85,7.5,401,2013,2,2.35,"Color",21,12,13,0,0,0,401,0,0,0,0,0,0,0,0,401,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
"86",86,6.2,402,2004,15,1.85,"Color",21,20,12,0,0,0,402,0,0,0,0,0,0,0,0,402,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
"87",87,7.3,403,2001,8,1.85,"Color",13,7,9,1,0,0,403,0,0,0,0,0,0,0,0,403,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"88",88,5.5,404,2007,15,2.35,"Color",30,17,16,0,0,0,404,0,0,0,0,0,0,0,0,404,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
"89",89,6.5,416,2010,17,2.35,"Color",20,20,16,0,0,0,416,0,0,0,0,0,0,0,0,416,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
