"imdb_score","release_year","movie_title_length","aspect_ratio","colour_film","genres_length","distributor_length","actor1_length","is_Miramax","is_Nov","is_Dec","comput","campus","holiday","riot","terror","escap","wish","love","dummy_R","dummy_PG.13","dummy_Approved","dummy_TV.G","dummy_TV.14","action","adventure","scifi","thriller","western","sport","horror","drama","war","crime","documentary","biography","fantasy","comedy","family","movie_budget","duration","nb_news_articles","movie_meter_IMDBpro","nb_faces","actor3_star_meter"
5.1,2007,22,2.35,"Color",6,34,10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,15000000,89,127,2679,0,6230
7.7,1997,18,1.85,"Color",20,16,14,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,50000000,139,596,2905,0,7728
6,2016,13,2.35,"Color",6,9,14,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,11500000,109,386,2918,1,797
7.3,1996,18,2.35,"Color",11,20,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6500000,143,64,5177,1,4003
7.7,2015,10,2.35,"Black and White",29,3,13,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,15000000,108,1756,463,0,11608
5.5,2010,17,2.35,"Color",21,29,13,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,40000000,110,1434,6249,1,5536
5.2,2001,11,1.85,"Color",31,18,11,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3000000,81,114,9565,0,5651
6.6,1984,35,2.35,"Color",23,18,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,17000000,105,165,6221,1,9685
7.3,2016,19,2.35,"Color",36,18,14,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,15000000,104,173,529,0,9647
7.9,1987,16,2.35,"Color",20,18,14,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,25000000,119,532,1748,1,5852
6.8,2008,9,2.35,"Color",19,15,15,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,20000000,115,190,5886,0,12184
6.5,2010,7,2.35,"Color",30,21,12,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,6500000,102,4,60683,0,4731
7.1,2016,23,2.35,"Color",36,18,12,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,29000000,110,641,4112,3,15321
5.2,1995,9,2.35,"Color",20,14,11,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,25000000,104,235,2418,0,3075
6.6,1989,15,2.35,"Color",25,14,11,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,32000000,133,277,3755,0,8276
6.6,2000,13,2.35,"Color",31,20,15,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,55000000,110,208,7137,2,5956
8,2014,7,1.85,"Color",5,13,14,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4000000,165,3497,2308,0,77239
7.6,2001,10,1.85,"Color",23,21,17,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,17000000,101,36,17148,0,14207
6.9,1981,7,1.85,"Color",17,29,11,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,10000000,117,371,3701,1,3155
5.9,1991,10,1.85,"Color",27,29,14,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,17000000,88,833,14298,1,12737
5.4,2008,17,1.85,"Color",21,8,12,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,40000000,99,368,10212,1,134045
6.2,2000,17,1.85,"Color",27,12,14,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,45000000,109,427,2843,1,4617
6.6,2011,21,2.35,"Color",14,11,10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,35000000,109,1777,2051,2,5710
7.9,2014,12,2.35,"Color",20,17,15,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,8500000,117,2171,1153,1,87042
7.5,2013,2,2.35,"Color",21,12,13,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,40000000,128,18,5008,0,3971
6.2,2004,15,1.85,"Color",21,20,12,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,35000000,104,147,7338,1,2450
7.3,2001,8,1.85,"Color",13,7,9,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,25000000,121,493,3408,1,16630
5.5,2007,15,2.35,"Color",30,17,16,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,17000000,160,510,5133,6,162110
6.5,2010,17,2.35,"Color",20,20,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,30000000,105,731,4824,1,23972
5.2,2002,19,2.35,"Color",20,12,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,35000000,101,344,3238,2,4974
6.3,2002,11,2.35,"Color",28,21,14,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,42000000,115,71,6369,1,5997
7.1,1998,11,1.85,"Color",12,15,14,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,15000000,97,291,9061,0,5179
6.2,2011,19,2.35,"Color",14,18,15,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,25000000,108,2141,1954,1,1501
6.6,2004,8,1.85,"Color",6,23,10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,25000000,93,74,1677,5,2441
7.3,2007,15,2.35,"Color",28,12,13,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,25000000,119,985,6084,0,5713
6.9,1999,16,1.85,"Color",14,10,13,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,14000000,97,84,13310,3,4703
6.5,2000,18,1.85,"Color",6,21,14,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,51000000,116,14,4387,1,20024
7,2000,13,1.85,"Color",14,49,12,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,20000000,126,70,28423,0,5145
6.5,2005,16,2.35,"Black and White",23,18,13,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,43000000,104,113,5324,0,2240
5.8,2002,9,1.85,"Color",14,29,13,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,50000000,96,162,6395,1,3327
6.4,2010,9,2.35,"Color",14,18,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,19000000,100,797,1904,2,3718
6.4,2008,14,2.35,"Color",6,34,13,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,20000000,102,399,9929,2,3742
7.7,1998,30,2.35,"Color",22,20,11,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,18500000,118,858,1312,0,1303
7.6,2004,12,2.35,"Color",20,24,14,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2500000,102,53,3104,3,4802
7.8,1997,8,2.35,"Color",22,29,18,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,50000000,129,410,1380,1,22256
7.6,1999,17,2.35,"Color",9,24,10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,52000000,215,1108,1962,0,6228
7.7,2014,24,2.35,"Color",23,14,14,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,15000000,123,3289,1607,0,7983
7.3,1995,6,1.85,"Black and White",12,15,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,3500000,97,6,1642,1,11546
7.5,2004,19,1.85,"Color",11,18,23,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,3000000,101,254,14293,0,239419
7.8,2000,19,2.35,"Color",21,20,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,30000000,120,450,1387,1,2301
6.9,2015,7,2.35,"Color",34,29,12,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,49000000,120,1021,2007,0,9550
7.3,2002,12,2.35,"Color",13,9,20,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,19800000,131,748,2593,0,3731
5,1980,4,2.35,"Color",28,25,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,18000000,123,12,7348,0,545
8.1,1987,7,1.85,"Color",9,14,11,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,6000000,120,790,1168,0,5495
6,2012,24,2.35,"Color",6,13,10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,850000,88,3,12383,0,603
6.4,1994,8,2.35,"Color",38,12,12,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,20000000,107,22,21830,1,2099
7.3,1994,12,1.85,"Color",20,29,14,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,15000000,115,362,2021,4,2064
8.1,2015,9,1.85,"Color",29,17,12,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,20000000,128,1886,826,2,8510
7.1,2016,4,2.35,"Color",21,26,12,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,30000000,134,225,8643,0,6630
6.4,2003,26,1.78,"Color",21,29,11,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,29000000,102,304,4732,1,13037
3.4,2003,39,1.37,"Color",6,15,12,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,19000000,85,122,6798,0,7958
5.6,2011,7,2.35,"Color",21,17,13,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,17000000,86,1204,2064,1,5684
7.2,2012,13,1.85,"Color",20,9,13,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,17000000,112,3275,1057,4,3156
6.3,2000,11,2.35,"Color",18,9,14,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,24000000,110,118,16048,4,3619
6.1,2012,17,1.85,"Color",13,21,14,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,25000000,105,417,9292,5,2628
6.4,2015,4,2.35,"Color",25,11,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,17000000,102,71,12474,0,26582
6.1,2000,14,2.35,"Color",21,12,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,25000000,115,139,5108,1,5396
7.6,1973,19,2.35,"Color",15,18,14,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5500000,105,152,6069,0,3541
5.6,2009,12,1.85,"Color",13,14,10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,18000000,109,439,13180,0,769
6.1,2012,7,2.35,"Color",32,24,13,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,20000000,95,642,5381,2,24136
6.7,1985,8,1.85,"Color",25,21,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,10000000,75,490,1922,0,1153
